fitness,prob_mutacion,desv_media,mejor_medio,t_convergencia_medio
color,0.05,790.0397083321557,13249.569296356716,8.411949348449706
color,0.2,363.57636188369537,15645.946800347228,15.2422265291214
edge,0.05,0.0006764059432027483,0.371935,9.461537671089172
edge,0.2,0.0012700123030900158,0.3738525,8.638049793243407
ssim_edge,0.05,0.00046657265898254584,0.2652797606896237,19.685559225082397
ssim_edge,0.2,0.0006049064319673671,0.2652375662245618,13.532466578483582
ssim,0.05,0.00011274164344484254,0.42923626830174566,10.711034297943115
ssim,0.2,5.012715093545272,0.42926388347745653,8.519045495986939
color,0.05,790.0397083321557,13249.569296356716,10.380718994140626
color,0.2,363.57636188369537,15645.946800347228,10.272364354133606
edge,0.05,0.0006764059432027483,0.371935,9.461537671089172
edge,0.2,0.0012700123030900158,0.3738525,7.0153600692749025
ssim_edge,0.05,0.0009619612403421605,0.26514314717602094,10.998412728309631
ssim_edge,0.2,0.0006508386371526287,0.26495064168534876,10.751318717002869
ssim,0.05,0.00011274164344484254,0.42923626830174566,10.711034297943115
ssim,0.2,5.012715093545272,0.42926388347745653,8.519045495986939
color,0.05,790.0397083321557,13249.569296356716,13.221850061416626
color,0.2,363.57636188369537,15645.946800347228,14.808611512184143
edge,0.05,0.0006764059432027483,0.371935,10.31258795261383
edge,0.2,0.0012700123030900158,0.3738525,10.726683092117309
ssim_edge,0.05,0.0008412795407029372,0.2648199429672446,21.677148866653443
ssim_edge,0.2,0.0006875298161871876,0.2652590244834188,17.345500826835632
ssim,0.05,0.0001267552446892586,0.429187968278275,15.560408854484558
ssim,0.2,0.0001702846438088813,0.42917952995088865,15.32106592655182
color,0.05,191.45806994023113,7680.1134403202905,12.891311430931092
color,0.2,530.6218611470887,9424.60453957292,13.777441763877869
edge,0.05,0.008838189859920409,0.17237999999999998,5.811043930053711
edge,0.2,0.003368734925754774,0.19512500000000002,4.913506031036377
ssim_edge,0.05,0.002994499122040769,0.2451759589710308,14.754406094551086
ssim_edge,0.2,0.0022475107306711563,0.25678792532433725,14.39966413974762
ssim,0.05,0.00010699789208958395,0.4296378676615705,25.285901427268982
ssim,0.2,0.0001112050834929821,0.4297120875678181,22.98759868144989
color,0.05,166.31963885359468,6355.468695441592,13.009745836257935
color,0.2,517.3320226175179,7083.558685009127,24.564058701197307
edge,0.05,0.003371778297707149,0.12660833333333335,34.050119161605835
edge,0.2,0.0032231583889098573,0.14095000000000002,25.74271273612976
ssim_edge,0.05,0.00048131232207176164,0.21780965616673884,35.969283978144325
ssim_edge,0.2,0.004584039349112866,0.22149954749846798,36.937400579452515
ssim,0.05,0.0018706686214267087,0.44082729182827984,28.84083167711894
ssim,0.2,0.0007854346867102931,0.44163542025466684,36.54811636606852
color,0.05,191.45806994023113,7680.1134403202905,14.93557412624359
color,0.2,530.6218611470887,9424.60453957292,14.717704367637634
edge,0.05,0.008838189859920409,0.17237999999999998,4.556350731849671
edge,0.2,0.003368734925754774,0.19512500000000002,4.0481092691421505
ssim_edge,0.05,0.0029949215103464845,0.24517041377603,15.526585817337036
ssim_edge,0.2,0.0022478202655560973,0.25678266367165803,14.786698579788208
ssim,0.05,0.00013601641082462931,0.42957114087871384,15.729616260528564
ssim,0.2,0.00011693096566909436,0.4296890843409108,13.149622201919556
color,0.05,347.70260312005473,8695.474931359231,32.61951812108358
color,0.2,290.3430297039185,10000.11457677926,19.443744659423828
edge,0.05,0.0037624635130779393,0.16006666666666666,18.46470332145691
edge,0.2,0.003402327130653084,0.16895185185185183,21.986888249715168
ssim_edge,0.05,0.0017436734797359695,0.2567877410435349,50.31270138422648
ssim_edge,0.2,0.001158327127932221,0.25973561175187143,34.094927390416466
ssim,0.05,0.002645680870721142,0.4308060181545059,48.20801798502604
ssim,0.2,0.003063373962356412,0.4394866097669525,22.645737568537395
